model,seed,f1,precision,recall,accuracy
DAPT-MiniLM,0,0.5838473983269322,0.602432184250366,0.5724400871459695,0.6595744680851063
DAPT-MiniLM,42,0.5636658791005673,0.5746293792547261,0.5580657383726438,0.6436170212765957
DAPT-MiniLM,3012,0.598827030812325,0.6055391674860702,0.593650342584699,0.6702127659574468
DAPT-MiniLM,33,0.5829611908559277,0.5994810744810746,0.5734978371380759,0.6702127659574468
DAPT-MiniLM,131,0.538242884664316,0.5448405880106911,0.5458542515234758,0.601063829787234
TAPT-MiniLM,0,0.5860774354377737,0.5898004707854229,0.5829070758738277,0.648936170212766
TAPT-MiniLM,42,0.5444800493526131,0.5385964912280702,0.5572763727068928,0.5904255319148937
TAPT-MiniLM,3012,0.569738712910519,0.597461395424044,0.5590208708282024,0.6436170212765957
TAPT-MiniLM,33,0.5155398924702798,0.5502285407004099,0.5735530927346784,0.5319148936170213
TAPT-MiniLM,131,0.571578063729718,0.5663178173487452,0.5814388557355309,0.6276595744680851
DAPT+TAPT-MiniLM,0,0.5758765575195596,0.6120537958773252,0.5604733036531843,0.6808510638297872
DAPT+TAPT-MiniLM,42,0.5759227582012392,0.6029844726759427,0.5744845442202645,0.6382978723404256
DAPT+TAPT-MiniLM,3012,0.6112163609586291,0.6458192472391255,0.5983391746392598,0.675531914893617
DAPT+TAPT-MiniLM,33,0.5674700121052053,0.5958682795698925,0.5543162514603265,0.6542553191489362
DAPT+TAPT-MiniLM,131,0.4734439840102887,0.47831785345717237,0.48650184711565786,0.5638297872340425
MiniLM-base,0,0.45292978626311964,0.46173869633433173,0.5177607274793976,0.6117021276595744
MiniLM-base,42,0.55772854596384,0.5807796539503856,0.5445281172050142,0.6329787234042553
MiniLM-base,3012,0.5799768290816885,0.6029009964641595,0.5703087998484418,0.6542553191489362
MiniLM-base,33,0.5489353520788273,0.5788467329117736,0.5454832496605727,0.6329787234042553
MiniLM-base,131,0.5566895677189795,0.5938339438339438,0.5443939250418364,0.6542553191489362
SciBERT,0,0.6202778899507934,0.6844770695163311,0.6008809320829781,0.6914893617021277
SciBERT,42,0.6183396242787106,0.6077007399287476,0.6418805847620851,0.6436170212765957
SciBERT,3012,0.5971243806164441,0.6795663885992353,0.57281898266553,0.7021276595744681
SciBERT,33,0.6219365422009782,0.6514069264069264,0.6133765905718165,0.675531914893617
SciBERT,131,0.5832537043407356,0.6267080745341614,0.5630466357235325,0.6648936170212766
ClimateBERT,0,0.5960460967259752,0.6102611542019497,0.5880063780745792,0.6648936170212766
ClimateBERT,42,0.5953927733588751,0.6335565476190476,0.5815967288686812,0.6648936170212766
ClimateBERT,3012,0.6559217256780697,0.6681348014681348,0.6494900697799249,0.7074468085106383
ClimateBERT,33,0.561196616010267,0.6220533603512327,0.5614757980486881,0.6329787234042553
ClimateBERT,131,0.593523146683539,0.6080527497194165,0.5906823276814751,0.6595744680851063
DistilBERT,0,0.6553884711779449,0.6917471819645732,0.6359366612989801,0.7127659574468085
DistilBERT,42,0.6308176308176309,0.6431471398803522,0.6214596949891068,0.6861702127659575
DistilBERT,3012,0.618331981110487,0.6327505827505827,0.611774178270342,0.675531914893617
DistilBERT,33,0.6295211076766736,0.6606902648064876,0.618460105459253,0.7074468085106383
DistilBERT,131,0.6601293987304968,0.6772413793103449,0.6578099838969403,0.7074468085106383
RoBERTa,0,0.569487323329705,0.6029124535476623,0.6273641501689242,0.574468085106383
RoBERTa,42,0.6106849733028222,0.7083078179220248,0.5799627419405765,0.6968085106382979
RoBERTa,3012,0.5843853242914275,0.6037890424987199,0.5897271952259164,0.6595744680851063
RoBERTa,33,0.537958217958218,0.5670320205203926,0.5336664456442802,0.6170212765957447
RoBERTa,131,0.6249468091573355,0.6364870509607352,0.6296769915695747,0.675531914893617
