model,seed,f1,precision,recall,accuracy
DAPT-MiniLM,0,0.7926417878979549,0.7888888888888889,0.7986111111111112,0.8125
DAPT-MiniLM,42,0.7525952123653273,0.8188034188034189,0.7222222222222222,0.7916666666666666
DAPT-MiniLM,3012,0.7651643990929705,0.7755952380952381,0.7569444444444445,0.7916666666666666
DAPT-MiniLM,33,0.48582375478927203,0.4677871148459383,0.5208333333333334,0.6666666666666666
DAPT-MiniLM,131,0.7707466537655216,0.8290640394088671,0.7430555555555555,0.8125
TAPT-MiniLM,0,0.6792622582096266,0.7656565656565656,0.6527777777777778,0.75
TAPT-MiniLM,42,0.7773833671399594,0.7913105413105413,0.7708333333333334,0.7916666666666666
TAPT-MiniLM,3012,0.7382251318421531,0.7775362318840578,0.7291666666666666,0.7708333333333334
TAPT-MiniLM,33,0.7094960212201592,0.8254901960784314,0.6736111111111112,0.75
TAPT-MiniLM,131,0.792174934489925,0.825925925925926,0.7708333333333334,0.8125
DAPT+TAPT-MiniLM,0,0.7767425810904073,0.8005050505050506,0.7708333333333334,0.7916666666666666
DAPT+TAPT-MiniLM,42,0.8003718728870859,0.816951566951567,0.7916666666666666,0.8125
DAPT+TAPT-MiniLM,3012,0.7713046757164405,0.8175925925925925,0.75,0.8125
DAPT+TAPT-MiniLM,33,0.7525952123653273,0.8188034188034189,0.7222222222222222,0.7916666666666666
DAPT+TAPT-MiniLM,131,0.8610752688172042,0.8788766788766789,0.8472222222222222,0.875
MiniLM-base,0,0.6965965069413346,0.844551282051282,0.6597222222222222,0.75
MiniLM-base,42,0.7348484848484849,0.7429971988795518,0.7291666666666666,0.75
MiniLM-base,3012,0.7856209150326797,0.806878306878307,0.7708333333333334,0.8125
MiniLM-base,33,0.7151515151515152,0.8556067588325652,0.6805555555555555,0.7708333333333334
MiniLM-base,131,0.7971028971028971,0.8862007168458782,0.7569444444444445,0.8125
SciBERT,0,0.7684587813620071,0.7833943833943834,0.7569444444444445,0.7916666666666666
SciBERT,42,0.819806763285024,0.8156565656565657,0.8472222222222222,0.8333333333333334
SciBERT,3012,0.7247863247863249,0.7777777777777778,0.75,0.75
SciBERT,33,0.7228706159740642,0.7481684981684982,0.7083333333333334,0.7708333333333334
SciBERT,131,0.7836897304821561,0.7696260854155591,0.8194444444444445,0.7916666666666666
ClimateBERT,0,0.7185990338164251,0.7075757575757575,0.7361111111111112,0.7291666666666666
ClimateBERT,42,0.6715430163706025,0.7791563275434243,0.6319444444444445,0.6875
ClimateBERT,3012,0.6702915388666852,0.7042440318302386,0.6527777777777778,0.7291666666666666
ClimateBERT,33,0.7806826434277414,0.7956228956228957,0.7916666666666666,0.7916666666666666
ClimateBERT,131,0.7121146953405018,0.7261294261294261,0.7013888888888888,0.7291666666666666
DistilBERT,0,0.7464066271669959,0.7505555555555556,0.7430555555555555,0.7708333333333334
DistilBERT,42,0.8209150326797386,0.8430335097001764,0.8055555555555555,0.8541666666666666
DistilBERT,3012,0.7825757575757576,0.7694444444444445,0.8194444444444445,0.7916666666666666
DistilBERT,33,0.8031240789861479,0.8333333333333334,0.7847222222222222,0.8333333333333334
DistilBERT,131,0.836432274059049,0.8549382716049383,0.8263888888888888,0.8541666666666666
RoBERTa,0,0.6949096880131362,0.9019607843137255,0.6666666666666666,0.7916666666666666
RoBERTa,42,0.6728461081402258,0.7443249701314217,0.6666666666666666,0.7083333333333334
RoBERTa,3012,0.8005462464014172,0.7888888888888889,0.8263888888888888,0.8125
RoBERTa,33,0.6563131313131313,0.6618814192343604,0.6527777777777778,0.6875
RoBERTa,131,0.7853535353535354,0.7833333333333333,0.7986111111111112,0.7916666666666666
