Model,Params (M),Ops/Step (M),FT Steps,Total FT Ops (B),Weights (MB),Optimizer (MB),Attn Maps (MB),Activations (MB),VRAM fp32 (MB),VRAM fp16 (MB)
MiniLM-base,33,2944.4,290,853.88,132.0,264.0,75.5,18.87,490.4,443.2
DAPT-MiniLM,33,2944.4,290,853.88,132.0,264.0,75.5,18.87,490.4,443.2
TAPT-MiniLM,33,2944.4,290,853.88,132.0,264.0,75.5,18.87,490.4,443.2
DAPT+TAPT-MiniLM,33,2944.4,290,853.88,132.0,264.0,75.5,18.87,490.4,443.2
SciBERT,110,11324.6,290,3284.14,440.0,880.0,75.5,37.75,1433.2,1376.6
ClimateBERT,82,5662.3,290,1642.07,328.0,656.0,37.75,18.87,1040.6,1012.3
DistilBERT,66,5662.3,290,1642.07,264.0,528.0,37.75,18.87,848.6,820.3
RoBERTa,125,11324.6,290,3284.14,500.0,1000.0,75.5,37.75,1613.2,1556.6
