model,seed,f1,precision,recall,accuracy
DAPT-MiniLM,0,0.6730740429873935,0.6910418954591351,0.6712217156366093,0.6956521739130435
DAPT-MiniLM,42,0.7022126680129416,0.7090108300059094,0.7020590594393785,0.7159420289855073
DAPT-MiniLM,3012,0.6932830459770115,0.6899685643755303,0.706343929415738,0.7072463768115942
DAPT-MiniLM,33,0.638107679634519,0.6686975974071726,0.6487514775413712,0.6579710144927536
DAPT-MiniLM,131,0.6919267654929765,0.6879542165609148,0.6974997889226614,0.7101449275362319
TAPT-MiniLM,0,0.6954392636701251,0.7044119485064367,0.6912128503883822,0.7130434782608696
TAPT-MiniLM,42,0.686457431188352,0.7017089284531145,0.6816721546774738,0.7014492753623188
TAPT-MiniLM,3012,0.7017132772655116,0.7017119354075877,0.7017646065518406,0.7188405797101449
TAPT-MiniLM,33,0.6363340858967014,0.6556802606448714,0.6520252870651807,0.6550724637681159
TAPT-MiniLM,131,0.6279341705379616,0.6276581081252641,0.6425109760216143,0.6463768115942029
DAPT+TAPT-MiniLM,0,0.7197715197715198,0.7200716845878136,0.7224797365754813,0.7304347826086957
DAPT+TAPT-MiniLM,42,0.687748836947829,0.6926592626290873,0.6851454322863898,0.7159420289855073
DAPT+TAPT-MiniLM,3012,0.6707973656858784,0.6773423544520573,0.666334219858156,0.6927536231884058
DAPT+TAPT-MiniLM,33,0.6990007219119269,0.7023780601245391,0.6961098446470787,0.7188405797101449
DAPT+TAPT-MiniLM,131,0.7073692710837136,0.7113883956949651,0.704145558932793,0.7217391304347827
MiniLM-base,0,0.6350546317750215,0.6568171631302656,0.62818515704154,0.663768115942029
MiniLM-base,42,0.651785404963995,0.6520803867874374,0.6630667426545086,0.6608695652173913
MiniLM-base,3012,0.6698053511245615,0.6931346816942,0.6603005741303614,0.6956521739130435
MiniLM-base,33,0.6749171568062122,0.6880504165314293,0.6676365670381629,0.7014492753623188
MiniLM-base,131,0.6576432748538011,0.663384597993688,0.6570542046605876,0.6782608695652174
SciBERT,0,0.5956492556699314,0.6103764090177134,0.6028537656197231,0.6260869565217392
SciBERT,42,0.6090469844895887,0.6183688686627175,0.6085855707531239,0.6289855072463768
SciBERT,3012,0.6273683090228764,0.6408644453170829,0.621380023640662,0.6550724637681159
SciBERT,33,0.6026530973899394,0.6164718583659609,0.6067354778790949,0.6231884057971014
SciBERT,131,0.6599983518373979,0.6639405791948164,0.6567597517730497,0.6811594202898551
ClimateBERT,0,0.6706889632107024,0.6991513601488025,0.6627395727794664,0.6956521739130435
ClimateBERT,42,0.736015017205168,0.755371928855555,0.723555175616346,0.7420289855072464
ClimateBERT,3012,0.7300276952942641,0.7400015561780268,0.7231931779804119,0.744927536231884
ClimateBERT,33,0.7251733766001051,0.7236733001658374,0.7273429584599796,0.736231884057971
ClimateBERT,131,0.7239414834095848,0.7373361958727812,0.7173526680175617,0.744927536231884
DistilBERT,0,0.6567963386727689,0.6729461092613146,0.6481931779804121,0.6811594202898551
DistilBERT,42,0.6781766598567636,0.6991764096943126,0.6676196808510638,0.7014492753623188
DistilBERT,3012,0.6888760962455382,0.7023358313951821,0.6804679584599796,0.7101449275362319
DistilBERT,33,0.6535468486702839,0.663687707641196,0.6644946808510639,0.6666666666666666
DistilBERT,131,0.6425108065741972,0.6426018856447689,0.6425246960486323,0.663768115942029
RoBERTa,0,0.7283199910595676,0.7290211049296341,0.7319528875379939,0.7420289855072464
RoBERTa,42,0.7456449653632752,0.7553166012070122,0.7383042046605875,0.7565217391304347
RoBERTa,3012,0.6862059069902057,0.6962604250739842,0.6840531070584261,0.7043478260869566
RoBERTa,33,0.6988258343496812,0.7024008390232299,0.6971209050996285,0.7130434782608696
RoBERTa,131,0.7322222222222221,0.7431767917616975,0.7258516970618034,0.744927536231884
